Date,ECOPETROL.CL,GEB.CL,PFCIBEST.CL,CIBEST.CL,GOOGL,AAPL,BVC.CL,NKE,IVV
2020-04-02,935.6707153320312,1307.384521484375,15101.74609375,15951.5517578125,226255.47271728516,241504.05562019348,4728.81591796875,300784.85235214233,945681.2884368896
2020-04-03,1021.1405639648438,1307.384521484375,15064.9150390625,15246.8662109375,218821.7662336696,235338.58919406775,4646.3359375,292630.03206080943,921761.0070926584
2020-04-06,1016.6422729492188,1289.434326171875,16145.3662109375,16271.8671875,236297.10859966278,255171.35563278198,4673.82958984375,313184.87018203735,981190.4000549316
2020-04-07,1003.1469116210938,1331.3184814453125,16145.3662109375,16656.240234375,233356.39349365234,249209.69974899292,4690.3251953125,307733.62534713745,969897.0736274719
2020-04-08,1061.626220703125,1364.2274169921875,16292.6982421875,16720.302734375,233810.93762618676,250900.63054183498,4728.81591796875,306181.71849005297,984656.2542613298
2020-04-13,1012.1437377929688,1367.218994140625,16575.091796875,17271.240234375,229608.31693172455,252326.96966362,4723.3173828125,296878.5011806488,969282.9552307129
2020-04-14,1000.897705078125,1400.128173828125,16906.59375,17117.490234375,242548.48692798615,267876.6672782898,4717.818359375,310713.9032897949,1009274.441078186
2020-04-15,942.4182739257812,1379.1859130859375,17115.314453125,17168.7421875,239875.4229433257,264162.0736183766,4761.80712890625,300637.0760046635,982371.391232904
2020-04-16,940.1690063476562,1394.1446533203125,16759.2578125,17219.994140625,243828.67639057804,270621.18597310036,4827.79150390625,310087.5686525367,1003762.5989228487
2020-04-17,959.8583374023438,1418.07861328125,16906.59375,16976.55078125,251975.4073381424,271215.94792590477,4827.79150390625,328222.41105553694,1047226.7159238458
2020-04-20,937.7080078125,1406.1114501953125,16710.1484375,16784.36328125,245987.8442621231,262945.1685523987,4827.79150390625,317693.4506435394,1018352.730506897
2020-04-21,905.7127075195312,1322.34326171875,15592.8642578125,15887.490234375,238932.94227961078,257512.5886520706,4728.81591796875,311191.8669041805,997789.9360277578
2020-04-22,945.0914306640625,1325.3349609375,15224.52734375,15874.677734375,252475.17735962756,269656.62786314264,4673.82958984375,330016.2064015269,1038585.1423273832
2020-04-23,974.6256103515625,1358.2440185546875,15273.6376953125,15695.3017578125,253788.95349884033,267299.0382385254,5141.212890625,323150.3277282715,1033214.5151367188
2020-04-24,940.1690063476562,1358.2440185546875,14856.1923828125,14759.990234375,254508.39437597152,274622.30786989816,5141.212890625,326456.01978500374,1046181.6985548958
2020-04-27,959.8583374023438,1355.2523193359375,15114.0283203125,15695.3017578125,254593.6150445938,276150.1928501129,4915.76904296875,331752.51026153564,1067144.443145752
2020-04-28,1021.3878784179688,1355.2523193359375,15777.0302734375,16335.9287109375,246556.51256607287,271266.47947409377,5014.744140625,329142.04567768425,1059812.3944042623
2020-04-29,1018.9267578125,1334.310302734375,15666.533203125,16028.427734375,268446.0141364932,280142.82151260227,5069.73046875,326397.4058722034,1087376.8160075247
2020-04-30,1028.771484375,1340.293701171875,15887.53125,16220.6171875,261722.68535614014,277952.48569488525,5152.2099609375,313949.6572113037,1045915.7753601074
2020-05-04,964.7809448242188,1334.1170654296875,15384.138671875,15464.6787109375,259425.5495082736,279858.7002673689,5009.24609375,311596.4451687746,1031717.8459323943
2020-05-05,977.0868530273438,1293.9700927734375,14917.578125,15195.6181640625,266716.64435878024,286387.8373975754,5009.24609375,319463.20212040097,1049349.0190062895
2020-05-06,959.8583374023438,1327.940673828125,14598.359375,14734.369140625,261926.28440093994,284904.0161533356,4965.25634765625,319035.6557044983,1026450.6421356201
2020-05-07,972.1644287109375,1346.47021484375,14991.2509765625,15528.7451171875,268998.2169066705,290474.0910866484,5014.744140625,322379.45133306086,1048076.5312390476
2020-05-08,1004.1598510742188,1346.47021484375,15040.365234375,15374.9912109375,269044.0155992396,294202.6531692222,4921.26806640625,325768.9815047011,1054202.1041273698
2020-05-11,1016.465576171875,1352.646484375,14733.4140625,15118.7412109375,271091.026222229,296976.2029438019,4921.26806640625,325427.82831573486,1047619.2875976562
2020-05-12,982.0090942382812,1349.5582275390625,14426.470703125,15054.6796875,265689.8281884771,293677.1516203694,4921.26806640625,315974.4313804675,1026602.7989608869
2020-05-13,945.0914306640625,1321.764404296875,13689.7978515625,14260.3046875,259632.37258911133,289162.4821243286,4811.294921875,306926.75090026855,1005627.2036437988
2020-05-14,950.0139770507812,1318.6761474609375,13567.017578125,13760.6171875,262840.02064992674,292681.669165235,4811.294921875,310667.6850361582,1023753.4053743184
2020-05-15,950.0139770507812,1327.940673828125,13628.4072265625,13786.2392578125,268293.22155102156,293483.7157603353,4706.8212890625,314964.8245698307,1037142.9793667421
